Id,Prediction
0,3720619.7817121786
1,3111955.3923320044
2,2185957.2853032155
3,2783952.406028706
4,3330308.874498148
5,3729942.9954102314
6,3495807.5448187534
7,2498599.538605595
8,4705492.467730146
9,3962393.170423814
10,4399738.884147795
11,5467611.137024471
12,4089941.902728696
13,4782662.494344167
14,3052200.214931051
15,4362264.800361244
16,4490436.80011599
17,3169853.9597423384
18,9069962.171592845
19,3082212.1291966205
20,1957272.2581427635
21,4371638.195308504
22,4217730.503147556
23,4693599.975980923
24,5386387.418208486
25,3995880.923494482
26,3025110.2538536745
27,5324800.404807185
28,2580777.115055783
29,4971892.403151045
30,3477837.7820443935
31,2014997.945559482
32,2528850.1458527627
33,4507875.829641082
34,2679931.8145829854
35,4620807.574371832
36,4264876.869821204
37,4300678.939330297
38,3046324.207767611
39,3483437.3899470023
40,4716247.45931996
41,4439937.801474148
42,4578187.115954325
43,4481625.851782309
44,5142492.818573446
45,3389994.710792222
46,2562610.604828866
47,2059903.300341142
48,4064831.7645816593
49,3530394.906458724
50,4174079.706862113
51,2475288.6395184263
52,5737219.558397972
53,2929792.4212193117
54,3616024.1849483624
55,4014278.0719212187
56,5420386.126513203
57,3407388.6076689777
58,4002837.3775191805
59,4632307.179346215
60,2172107.5480226353
61,3434948.407038559
62,3748905.1438271715
63,3209668.405219988
64,4716368.678475669
65,5430622.039830115
66,4467147.6530941455
67,5317909.080592141
68,4481823.257445162
69,5681853.827430408
70,4120089.095525575
71,2036684.9305603697
72,4256116.79749621
73,3539063.9013117296
74,5763531.943709468
75,4593508.925033109
76,4484759.242323832
77,4242467.874281746
78,5169619.286448616
79,3901577.742718282
80,6115641.376892928
81,5979126.069674097
82,3399196.324891943
83,4008486.471553811
84,5942988.302238521
85,1810736.5309936518
86,4180820.789233105
87,9153691.310569374
88,4686466.174730451
89,3131890.246658497
90,5507762.658684087
91,3567514.249296434
92,3587409.0217663613
93,2682352.23553479
94,10001008.750572609
95,3082527.1931697563
96,4084660.6864572996
97,3925803.946092418
98,3900194.3898830223
99,5383576.380773984
100,5814462.311670515
101,2666987.779452873
102,3361018.0852619894
103,3585873.789235838
104,4309654.485144814
105,2939534.3044959484
106,4088852.687904073
107,6155973.01327415
108,4392135.969201324
109,5583112.847036475
110,5359192.622259047
111,3168691.7351301704
112,6083817.357298065
113,3887059.8921730528
114,3553816.7711977568
115,4863981.844120787
116,2480679.2421461353
117,4378644.227807246
118,3759796.2377775186
119,5117430.0264060525
120,4664237.570956118
121,4941841.571997305
122,4449092.168558915
123,4292174.598649453
124,2987384.278032346
125,3514011.8248532107
126,4881587.160421319
127,3907643.720728377
128,3770919.9367081528
129,3173445.083859724
130,2101680.9192767395
131,4442241.60679894
132,4307561.0402200185
133,2980944.905601728
134,4437239.3738612
135,3107208.805754635
136,3917061.1739065526
137,4038823.8811949785
138,3201931.116870642
139,3453717.4441417954
140,5688747.279524493
141,2535318.1756750187
142,3902338.810958431
143,2315547.186916711
144,5982451.584919681
145,3216550.869545838
146,5043658.049135649
147,3168010.4578355965
148,4152352.1643506177
149,4605074.38970085
150,4250138.481095464
151,2045780.7857534601
152,5962175.297926233
153,5378983.92184342
154,2896782.205052847
155,4824058.389447545
156,5147375.9069969775
157,5951868.755019029
158,3065378.933414838
159,3434361.7723018397
160,2683485.177548335
161,4145179.527292108
162,3293430.68986218
163,4916975.669620292
164,6090079.590765334
165,2120458.1122007286
166,3686288.419201137
167,2110173.7950024856
168,5208506.309156998
169,4711579.626948421
170,4108987.960613286
171,2789294.8558298475
172,3054280.559820366
173,9100464.603305219
174,5791880.077243001
175,1806297.9092755972
176,5298206.613710829
177,5970218.978814439
178,3759597.582972621
179,4044358.964783881
180,3851057.5598141267
181,4012377.5048053577
182,4504561.158295254
183,3845671.0310628437
184,4903966.799647132
185,3654210.0417634393
186,4050758.9626034694
187,4550022.957288184
188,4822142.713701318
189,4177146.535530213
190,4222006.402554587
191,4753228.189582144
192,4842082.973691087
193,3013551.660688609
194,4979590.0195959
195,3503421.106927952
196,3737150.607566481
197,2102541.0897291857
198,3147953.782948292
199,5926283.059339046
200,4379406.321379674
201,3860547.4599437346
202,4211250.328668929
203,7745332.056217734
204,4385923.041218039
205,6579736.280271539
206,4725156.532824378
207,3811470.0778767536
208,4068112.550700922
209,4130666.7005313514
210,4757550.1078333855
211,4726059.275902552
212,3366898.7129519023
213,2940642.8176388885
214,6319958.257726054
215,1970260.7382940638
216,3987346.415984454
217,4277560.174773186
218,4556264.1795300115
219,2509660.555067485
220,7703108.622266914
221,4691383.382396052
222,4963486.778740091
223,4130666.7005313514
224,5737219.558397972
225,4922145.59384554
226,2811177.3305882043
227,5806234.134340525
228,3506664.188069653
229,5170610.9971528
230,4399103.374252789
231,7762168.837676942
232,4124699.8860581573
233,3748611.136643611
234,3805876.570216365
235,4677456.849266957
236,4222455.334012088
237,3428822.8487449912
238,4225402.782193597
239,4821277.247587051
240,3762861.287364927
241,4206413.152187696
242,2565312.726293583
243,3353091.9779906296
244,5104349.725577181
245,4030003.8128322144
246,4020759.89949382
247,5219819.987351021
248,3725180.169421724
249,4807027.448140267
250,2822872.2690135515
251,4599312.591763452
252,6762693.270061797
253,3662647.0381782404
254,3758723.7385582654
255,3383090.8216832015
256,4800250.916404999
257,3562652.7496242346
258,2743837.7970878165
259,3590039.5000610743
260,4164001.857491965
261,3087317.9245433547
262,4597306.75396534
263,4006979.0272917924
264,1963608.5445340069
265,4709406.80203853
266,4294754.789344516
267,9546536.109291341
268,4259057.518411286
269,3421240.0061449995
270,4172587.3917434397
271,1828671.5889357026
272,4588432.623940515
273,4415955.14621175
274,4254755.605106208
275,4583186.7080176845
276,4743621.1913509015
277,5882692.116590851
278,3948989.586895345
279,4265827.541482275
280,4677432.974428634
281,3724260.0225460515
282,3122621.19704677
283,4458767.605056192
284,4909732.710044424
285,2101680.9192767395
286,4567679.723410678
287,4136076.5203327145
288,4483676.457498597
289,2824787.9910207335
290,3670402.5940898713
291,4780941.790674292
292,2674441.0325177964
293,4184887.963255915
294,3748510.1969223865
295,4636842.910100504
296,6140661.763327312
297,9002056.405359121
298,3889777.464986118
299,4268352.803180174
300,4957300.217428154
301,4719564.052074366
302,8923121.229640296
303,6415156.17900783
304,3882078.317389669
305,5157801.159790612
306,3640803.434513713
307,6019501.410978337
308,1824149.8540888396
309,4043535.7360632834
310,4155570.6504381835
311,3538131.3678543395
312,3410138.9165820684
313,4089839.4047376085
314,2335777.621174244
315,2367507.7297754413
316,1830693.6227515775
317,4714231.12808683
318,5093640.755638283
319,2572663.985558422
320,2965320.8229536386
321,2802664.1517623393
322,4627766.8166549
323,4130506.616924499
324,4199998.917620194
325,3422061.784919863
326,4898269.006763209
327,4150007.9567784667
328,4885096.298999854
329,4086526.332702244
330,1783266.6388903742
331,5233016.24643361
332,6568342.491351521
333,4433334.299866939
334,4554630.758450533
335,4591589.171551554
336,2757567.8422187734
337,4260082.766033577
338,3724260.0225460515
339,2879254.8789725415
340,4065435.4047629787
341,4876782.938760372
342,4787985.947215843
343,4132139.7198846214
344,6155973.01327415
345,3677355.2741272966
346,3540289.5701106875
347,5550168.342182039
348,1898381.0946988228
349,7234594.339413512
350,3772251.6936759213
351,6229541.200606596
352,5412285.710765404
353,2564237.2239404256
354,3271651.641448284
355,3083416.1559315743
356,4985373.086204537
357,4642272.858774037
358,4726059.275902552
359,4675806.381470397
360,3173445.083859724
361,5438250.721710731
362,4222117.236565635
363,4133100.6286381073
364,5152545.912409433
365,2465110.1432365
366,2257458.3553388095
367,3745330.3260250357
368,3077846.8779516304
369,5753626.8178721545
370,3516340.1832044395
371,3829572.8573619965
372,6155973.01327415
373,4945421.862160841
374,3253235.7774854572
375,5211446.691235689
376,3146464.4722001627
377,3323786.392287174
378,4389463.795785157
379,4471022.928430417
380,4829346.791316352
381,3661247.413519097
382,2487800.357115469
383,5221112.9556524595
384,3091645.6041867174
385,5298206.613710829
386,2691019.297826
387,4008901.403952194
388,3740918.169337602
389,4124462.327479024
390,7352812.00416233
391,2856828.2007911145
392,3344496.9841236933
393,4045949.4288858706
394,4913475.6832297705
395,2625604.066417945
396,4252121.174366682
397,5970568.560061336
398,9492288.357397456
399,5434382.493478979
400,3192094.57513535
401,3701266.5438961596
402,3319369.5721195634
403,4005528.5718348217
404,2763127.3809637898
405,4258737.1477965405
406,4690709.075665167
407,3760613.273720246
408,2101680.9192767395
409,3918601.738672937
410,3242893.825990512
411,2760266.636476455
412,4658462.69101461
413,4574422.060030781
414,4528302.898566451
415,3612321.8585599316
416,4599999.095005731
417,2565312.726293583
418,4579819.846565268
419,2847199.1810951424
420,4698344.0984880375
421,4561272.317433742
422,6353848.482571199
423,2690374.330237335
424,5179426.299536148
425,4137145.4092891407
426,4010593.8998727384
427,3161687.5672333804
428,4448202.985759145
429,3237230.6269231215
430,3845683.608896854
431,4012137.9085883517
432,2716903.334788728
433,3032658.783228672
434,3321744.9266962386
435,4396044.261999321
436,3713033.899385483
437,3211225.302011866
438,1974242.3942439964
439,5203426.373369077
